model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,codewhale,t01-roman,pass,5.5,5.5,1,34028,19229,463,14336,0,0.000000,8,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t02-jsonrepair,pass,23,22.9,1,96472,50676,2788,43008,0,0.000000,60,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t03-ringbuffer,pass,10.3,9.7,1,38828,21666,906,16256,0,0.000000,14,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t04-csvbugfix,pass,7.4,7.3,1,49820,27305,755,21760,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t05-todostore,pass,7.5,7.4,1,38875,21959,660,16256,0,0.000000,18,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t06-stackvm,pass,26.3,26.2,1,124751,65091,4108,55552,0,0.000000,96,11,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t07-validate,pass,16.4,16.3,1,47331,25538,2209,19584,0,0.000000,15,9,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t08-logsum,pass,15.9,15.8,1,63338,31614,1772,29952,0,0.000000,81,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t09-poolrace,pass,10,10,1,38367,21452,787,16128,0,0.000000,4,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t10-iniparse,pass,133.6,130.6,1,921324,473809,8859,438656,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t11-asyncbugs,pass,11.8,11.6,1,60943,30627,1388,28928,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t12-refactor,pass,11.5,11.4,1,58568,29411,1125,28032,0,0.000000,2,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t13-batchrename,pass,6.1,5.7,1,25882,15352,290,10240,0,0.000000,27,27,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t14-todosweep,pass,13.6,13.5,1,56282,31003,831,24448,0,0.000000,18,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t15-pollstats,pass,10.1,9.6,1,45717,25050,571,20096,0,0.000000,1,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t16-apisum,pass,9.1,8,1,38254,21515,611,16128,0,0.000000,12,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t17-doccheck,pass,10.3,10.3,1,55228,30231,933,24064,0,0.000000,38,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t01-roman,pass,5.5,5.3,1,13662,3506,428,9728,0,0.000000,22,1,2668,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,39.5,39.4,1,42242,4701,5157,32384,0,0.000000,58,1,2718,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,10.6,10,1,21508,1786,1034,18688,0,0.000000,17,4,2687,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,6.3,6.2,1,20720,2224,576,17920,0,0.000000,3,3,2644,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,12.7,12.6,1,36463,3344,1759,31360,0,0.000000,18,4,2628,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,54.3,53.9,1,115467,6925,7806,100736,0,0.000000,179,53,2671,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t07-validate,pass,18.3,18.2,1,37778,3896,2522,31360,0,0.000000,16,11,2639,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t08-logsum,pass,34,33.7,1,66208,3866,4870,57472,0,0.000000,70,3,2636,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t09-poolrace,pass,14.7,13.3,1,18964,1671,653,16640,0,0.000000,4,1,2654,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t10-iniparse,pass,25.9,21.8,1,28737,2296,1609,24832,0,0.000000,6,5,2642,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t11-asyncbugs,fail,54.2,54.2,6,0,0,0,0,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t12-refactor,pass,8.5,7.8,1,46574,4797,1841,39936,0,0.000000,2,4,2381,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t13-batchrename,pass,9.3,8.9,1,28049,4325,556,23168,0,0.000000,27,27,2397,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t14-todosweep,pass,23.3,23.1,1,40708,3294,2470,34944,0,0.000000,18,0,2390,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t15-pollstats,pass,10.2,9.9,1,15397,1266,435,13696,0,0.000000,1,0,2402,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t16-apisum,pass,8.7,7.5,1,13789,1413,472,11904,0,0.000000,23,0,2404,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t17-doccheck,pass,29.4,29.4,1,58369,3343,3314,51712,0,0.000000,40,0,2482,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,8.9,8.6,1,27425,10347,1078,16000,0,0.000000,20,1,2668,true,1,1,0,0,0,0,0,6234,0,9
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,31.1,31.1,1,26071,4386,3381,18304,0,0.000000,73,1,2718,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,10.5,9.9,1,33179,9033,722,23424,0,0.000000,17,4,2687,true,2,2,0,0,0,0,0,13407,6016,49
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,11.7,11.6,1,36422,3067,1227,32128,0,0.000000,3,3,2644,true,2,1,0,0,0,0,1,13717,12160,137
deepseek-v4-flash,niffler-expert,t05-todostore,pass,12.2,12,1,49184,4749,1555,42880,0,0.000000,18,4,2628,true,2,2,0,0,0,0,0,13827,12032,62
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,56.8,56.4,1,92075,8368,9339,74368,0,0.000000,126,24,2671,true,2,2,0,0,0,0,0,13863,12032,69
deepseek-v4-flash,niffler-expert,t07-validate,pass,16.6,16.5,1,45972,4161,2387,39424,0,0.000000,9,9,2639,true,2,2,0,0,0,0,0,13694,12032,96
deepseek-v4-flash,niffler-expert,t08-logsum,pass,48.8,48.6,1,89581,14509,3648,71424,0,0.000000,55,3,2636,true,2,2,0,0,0,0,0,12775,3328,327
deepseek-v4-flash,niffler-expert,t09-poolrace,pass,18,16.3,1,56210,10657,1777,43776,0,0.000000,7,4,2654,true,2,2,0,0,0,0,0,14002,6016,127
deepseek-v4-flash,niffler-expert,t10-iniparse,pass,21.3,18.4,1,42558,4095,1343,37120,0,0.000000,5,6,2642,true,2,2,0,0,0,0,0,13568,12160,88
deepseek-v4-flash,niffler-expert,t11-asyncbugs,pass,13.2,13,1,40084,9514,1386,29184,0,0.000000,5,10,2639,true,2,2,0,0,0,0,0,13642,6656,99
deepseek-v4-flash,niffler-expert,t12-refactor,pass,8.1,7.7,1,20790,1373,601,18816,0,0.000000,2,4,2645,true,1,1,0,0,0,0,0,6216,6016,35
deepseek-v4-flash,niffler-expert,t13-batchrename,pass,12.2,11.8,1,47455,5247,864,41344,0,0.000000,27,27,2661,true,2,2,0,0,0,0,0,13416,12160,152
deepseek-v4-flash,niffler-expert,t14-todosweep,pass,15.5,15.5,1,48530,6558,1780,40192,0,0.000000,18,0,2654,true,2,2,0,0,0,0,0,15047,12032,86
deepseek-v4-flash,niffler-expert,t15-pollstats,pass,8.8,8.5,1,25111,2091,492,22528,0,0.000000,1,0,2666,true,1,1,0,0,0,0,0,6187,6016,32
deepseek-v4-flash,niffler-expert,t16-apisum,pass,9.4,8.2,1,20503,1494,449,18560,0,0.000000,17,0,2668,true,1,1,0,0,0,0,0,6212,6016,53
deepseek-v4-flash,niffler-expert,t17-doccheck,pass,32.9,32.8,1,81914,7393,4889,69632,0,0.000000,69,0,2746,true,2,2,0,0,0,0,0,13963,12160,77
deepseek-v4-flash,opencode,t01-roman,pass,10.8,10.7,1,68940,17196,544,51200,0,0.002703,13,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t02-jsonrepair,pass,18.8,18.8,1,89997,17939,890,71168,0,0.003027,54,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t03-ringbuffer,pass,16.4,15.9,1,106934,16079,871,89984,0,0.002750,14,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t04-csvbugfix,pass,13.8,13.7,1,87755,15811,520,71424,0,0.002563,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t05-todostore,pass,16.5,16.3,1,90736,16623,897,73216,0,0.002789,20,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t06-stackvm,pass,54.3,54.3,1,148210,21488,3202,123520,0,0.005275,141,46,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t07-validate,pass,29.3,29.2,1,117920,18115,1117,98688,0,0.003667,23,9,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t08-logsum,pass,35.5,35.3,1,175619,17790,1669,156160,0,0.003583,45,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t09-poolrace,pass,20.6,20.5,1,106944,16304,656,89984,0,0.002726,5,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t10-iniparse,pass,33,28.6,1,74744,16869,915,56960,0,0.002823,6,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t11-asyncbugs,pass,68.2,67.7,2,361508,19809,2499,339200,0,0.004884,0,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t12-refactor,pass,19.2,18.8,1,110802,16778,968,93056,0,0.002964,2,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t13-batchrename,pass,20.1,19.9,1,76362,17859,391,58112,0,0.002788,27,27,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t14-todosweep,pass,16.6,16.6,1,54053,16377,428,37248,0,0.002572,18,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t15-pollstats,pass,20.1,19.4,1,108012,16094,782,91136,0,0.002734,1,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t16-apisum,pass,17.7,16.6,1,91112,16575,809,73728,0,0.002765,21,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t17-doccheck,pass,42.7,42.7,1,225453,17564,1937,205952,0,0.004025,58,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t01-roman,pass,19.1,19,1,33698,19218,336,14144,0,0.000000,19,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t02-jsonrepair,pass,57.9,57.9,1,41732,24243,2129,15360,0,0.000000,51,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t03-ringbuffer,pass,28.5,25.7,1,36195,21525,526,14144,0,0.000000,18,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t04-csvbugfix,pass,21.4,21.3,1,33949,20283,290,13376,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t05-todostore,pass,23.4,23.3,1,40700,21625,515,18560,0,0.000000,16,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t06-stackvm,pass,114.1,114,1,179821,95900,5521,78400,0,0.000000,146,36,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t07-validate,pass,42.2,42.1,1,57896,35162,1486,21248,0,0.000000,11,8,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t08-logsum,pass,84.3,84,1,153879,80481,2230,71168,0,0.000000,59,3,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t09-poolrace,pass,47.8,47.7,1,58747,32732,1119,24896,0,0.000000,6,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t10-iniparse,pass,106.4,100.8,2,82000,49902,2466,29632,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t11-asyncbugs,pass,38.5,38.3,1,45150,22709,1065,21376,0,0.000000,5,10,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t12-refactor,pass,34.2,34.2,1,53471,26773,522,26176,0,0.000000,2,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t13-batchrename,pass,19.3,18.9,1,24202,15586,296,8320,0,0.000000,27,27,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t14-todosweep,pass,41.7,41.6,1,47732,25524,960,21248,0,0.000000,18,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t15-pollstats,pass,20.5,18.8,1,27142,14422,176,12544,0,0.000000,1,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t16-apisum,pass,53.9,52.7,1,20109,19671,438,0,0,0.000000,20,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,t17-doccheck,pass,406.2,406.1,1,98458,71185,4873,22400,0,0.000000,46,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t01-roman,pass,17.3,17.1,1,0,0,0,0,0,0.000000,13,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,47.3,47.1,1,17156,4279,845,12032,0,0.000000,84,1,2524,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,31.8,29.2,1,16129,6643,462,9024,0,0.000000,13,4,2498,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,20.4,20.3,1,12399,1765,202,10432,0,0.000000,3,3,2455,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,20.9,20.7,1,12165,4337,404,7424,0,0.000000,14,4,2440,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,179.6,179.4,1,177281,17910,5259,154112,0,0.000000,185,55,2481,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t07-validate,pass,51,50.9,1,25586,14216,554,10816,0,0.000000,6,11,2451,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t08-logsum,pass,35.1,34.8,1,76275,24881,1346,50048,0,0.000000,51,2,2719,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t09-poolrace,pass,24.5,23,1,11381,3743,214,7424,0,0.000000,5,1,2466,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t10-iniparse,pass,34.4,32.9,1,16821,7760,421,8640,0,0.000000,9,8,2454,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t11-asyncbugs,pass,45.4,45.2,1,28204,12422,486,15296,0,0.000000,6,11,2201,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t12-refactor,pass,58.3,57.9,1,17904,17622,282,0,0,0.000000,6,2,2454,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t13-batchrename,pass,40,39.6,1,8966,8845,121,0,0,0.000000,27,27,2485,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t14-todosweep,pass,99.3,99.2,1,12921,12605,316,0,0,0.000000,18,0,2478,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t15-pollstats,pass,92.5,92.2,1,11812,11537,275,0,0,0.000000,1,0,2490,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t16-apisum,pass,312.5,115.7,1,25455,25107,348,0,0,0.000000,12,0,2492,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t17-doccheck,pass,208,207.9,1,23652,22698,954,0,0,0.000000,28,0,2570,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,21,20.8,1,0,0,0,0,0,0.000000,13,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,67.1,67,1,44667,20457,2514,21696,0,0.000000,71,1,2524,true,2,2,0,0,0,0,0,12856,6144,78
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,33.2,30,1,28911,13987,652,14272,0,0.000000,13,4,2498,true,2,2,0,0,0,0,0,12666,6016,100
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,29.8,29.6,1,28231,8106,285,19840,0,0.000000,3,3,2455,true,2,2,0,0,0,0,0,12819,12160,75
glm-5.3-flash,niffler-expert,t05-todostore,pass,22.8,22.7,1,24998,4934,480,19584,0,0.000000,19,4,2440,true,2,2,0,0,0,0,0,12693,12032,62
glm-5.3-flash,niffler-expert,t06-stackvm,pass,124,123.7,1,84760,13035,3437,68288,0,0.000000,156,34,2481,true,2,2,0,0,0,0,0,12506,12160,67
glm-5.3-flash,niffler-expert,t07-validate,pass,31.8,31.7,1,38822,8772,674,29376,0,0.000000,9,7,2451,true,2,1,0,0,0,0,1,12853,12032,138
glm-5.3-flash,niffler-expert,t08-logsum,pass,27.8,27,1,241531,53313,4794,183424,0,0.000000,47,2,2719,true,2,2,0,0,0,0,0,12688,9472,88
glm-5.3-flash,niffler-expert,t09-poolrace,pass,26.4,24.8,1,24687,4737,366,19584,0,0.000000,4,1,2466,true,2,2,0,0,0,0,0,12992,12160,74
glm-5.3-flash,niffler-expert,t10-iniparse,pass,53.2,51.4,1,53618,34808,1082,17728,0,0.000000,6,5,2454,true,2,2,0,0,0,0,0,12912,6016,73
glm-5.3-flash,niffler-expert,t11-asyncbugs,pass,47.4,47.2,1,38684,13305,675,24704,0,0.000000,6,11,2201,true,2,2,0,0,0,0,0,12827,12032,63
glm-5.3-flash,niffler-expert,t12-refactor,pass,71.9,71.6,1,35438,22671,607,12160,0,0.000000,2,4,2468,true,2,1,0,0,0,0,1,12563,12160,224
glm-5.3-flash,niffler-expert,t13-batchrename,pass,32.8,32.4,1,25881,13599,122,12160,0,0.000000,27,27,2485,true,2,2,0,0,0,0,0,12759,12160,30
glm-5.3-flash,niffler-expert,t14-todosweep,pass,66.7,66.6,1,25474,13232,210,12032,0,0.000000,18,0,2478,true,2,2,0,0,0,0,0,12620,12032,68
glm-5.3-flash,niffler-expert,t15-pollstats,pass,43.2,43,1,14695,8311,368,6016,0,0.000000,1,0,2490,true,1,0,1,1,0,0,0,6194,6016,161
glm-5.3-flash,niffler-expert,t16-apisum,pass,234.4,233.2,1,24740,12157,551,12032,0,0.000000,9,0,2492,true,2,1,0,0,0,0,1,12797,12032,385
glm-5.3-flash,niffler-expert,t17-doccheck,pass,825.3,825.3,1,263237,142373,7328,113536,0,0.000000,31,0,2570,true,2,1,1,1,0,0,0,12443,6016,160
glm-5.3-flash,opencode,t01-roman,pass,29.8,29.7,1,65443,31244,343,33856,0,0.003887,13,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t02-jsonrepair,pass,37.9,37.8,1,85076,20868,720,63488,0,0.003537,61,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t03-ringbuffer,pass,37.8,35.2,1,66579,20095,468,46016,0,0.003047,16,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t04-csvbugfix,pass,34.5,34.4,1,83073,4165,252,78656,0,0.002057,3,3,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t05-todostore,pass,30,29.9,1,66609,20240,481,45888,0,0.003062,14,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t06-stackvm,pass,80.8,80.7,1,122691,25048,2987,94656,0,0.005183,151,54,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t07-validate,pass,35.3,35.2,1,69596,21222,438,47936,0,0.003190,7,8,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t08-logsum,pass,66.9,66.2,1,141611,18933,822,121856,0,0.004555,45,2,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t09-poolrace,pass,38.7,38.6,1,65858,16696,330,48832,0,0.002067,4,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t10-iniparse,pass,56.1,53.9,1,102816,17776,496,84544,0,0.002740,6,7,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t11-asyncbugs,pass,99.2,99,1,222381,20362,1379,200640,0,0.004913,0,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t12-refactor,pass,29.3,29.1,1,66808,15700,356,50752,0,0.002031,2,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t13-batchrename,pass,49.7,49.4,1,99689,20275,182,79232,0,0.002792,27,27,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t14-todosweep,pass,30,30,1,50692,4528,212,45952,0,0.001088,18,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t15-pollstats,pass,40.3,40,1,83263,20180,363,62720,0,0.002584,1,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t16-apisum,pass,34.2,33.1,1,82268,19868,384,62016,0,0.002516,12,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t17-doccheck,pass,83.9,83.9,1,155560,20201,895,134464,0,0.003816,39,0,,false,0,0,0,0,0,0,0,0,0,0
