model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,9.6,9.1,1,44897,11141,732,33024,0,0.000000,19,1,10147,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,114.7,114.6,1,273348,13695,16325,243328,0,0.000000,135,1,10199,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,19.5,18.4,1,62504,10834,1622,50048,0,0.000000,18,4,10166,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,12.9,12.8,1,75500,11634,1146,62720,0,0.000000,3,3,10125,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,19.5,19.2,1,66856,11614,2506,52736,0,0.000000,18,4,10109,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,96.7,96.1,1,146095,15458,15309,115328,0,0.000000,151,48,10151,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,12.3,11.7,1,62123,15045,614,46464,0,0.000000,19,1,10153,true,2,1,0,0,0,0,1,4514,1792,93
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,57.3,57.2,1,153074,17510,6540,129024,0,0.000000,62,1,10205,true,2,2,0,0,0,0,0,6911,2688,76
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,18.6,17.5,1,65384,12640,904,51840,0,0.000000,14,4,10172,true,2,1,0,0,0,0,1,4714,3328,87
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,15.6,15.4,1,69863,15622,1761,52480,0,0.000000,3,3,10131,true,2,1,0,0,0,0,1,6106,1664,139
deepseek-v4-flash,niffler-expert,t05-todostore,pass,13.4,13.2,1,74643,11910,1037,61696,0,0.000000,19,4,10115,true,1,1,0,0,0,0,0,2322,1664,31
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,107.2,106.6,1,185161,17206,15507,152448,0,0.000000,125,20,10157,true,2,2,0,0,0,0,0,5087,3328,51
glm-5.3-flash,niffler,t01-roman,pass,37.4,36.9,1,52233,28870,323,23040,0,0.000000,13,1,9617,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,84.9,84.8,1,57625,7202,2103,48320,0,0.000000,76,1,9659,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,44.2,43.1,1,54160,5004,516,48640,0,0.000000,16,4,9633,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,41.7,41.3,1,55893,5270,447,50176,0,0.000000,3,3,9592,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,48,47.7,1,53853,4078,495,49280,0,0.000000,14,4,9577,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,300.7,300.1,1,115596,52335,12381,50880,0,0.000000,157,61,9616,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,49.8,49.4,1,69757,26844,481,42432,0,0.000000,19,1,9623,true,2,2,0,0,0,0,0,4492,0,40
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,138.4,138.2,1,69495,10219,4620,54656,0,0.000000,87,1,9665,true,2,2,0,0,0,0,0,4042,1664,63
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,69.6,68.5,1,57268,3468,616,53184,0,0.000000,21,4,9639,true,2,2,0,0,0,0,0,4155,3456,63
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,33.5,33.3,1,58610,5611,455,52544,0,0.000000,3,3,9598,true,2,1,0,0,0,0,1,4396,3328,78
glm-5.3-flash,niffler-expert,t05-todostore,pass,38.5,38.3,1,60249,4319,698,55232,0,0.000000,16,4,9583,true,2,2,0,0,0,0,0,4566,3328,44
glm-5.3-flash,niffler-expert,t06-stackvm,pass,287.9,287.4,1,127205,35268,12897,79040,0,0.000000,116,49,9622,true,2,2,0,0,0,0,0,4378,3456,96
