model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,7.2,6.8,1,25799,5650,565,19584,0,0.000000,19,1,5462,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,57.4,57.3,1,51814,5722,7180,38912,0,0.000000,61,1,5514,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,12.4,11.5,1,33404,5548,720,27136,0,0.000000,19,4,5481,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,8.9,8.8,1,32468,5419,809,26240,0,0.000000,3,3,5440,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,8.2,8,1,34364,6162,682,27520,0,0.000000,17,4,5424,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,63.5,63,1,108657,10859,8582,89216,0,0.000000,117,23,5466,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,10.8,10.4,1,28601,9169,744,18688,0,0.000000,13,1,5468,true,1,1,0,0,0,0,0,3495,0,27
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,47.7,47.6,1,95175,13629,5258,76288,0,0.000000,62,1,5520,true,2,2,0,0,0,0,0,7872,3200,65
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,14,13.1,1,40666,6805,709,33152,0,0.000000,15,4,5487,true,2,2,0,0,0,0,0,7559,6528,52
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,10.9,10.7,1,43811,6615,588,36608,0,0.000000,3,3,5446,true,1,1,0,0,0,0,0,4096,3200,31
deepseek-v4-flash,niffler-expert,t05-todostore,pass,12.4,12.1,1,38800,6844,980,30976,0,0.000000,21,4,5430,true,1,1,0,0,0,0,0,3832,3200,23
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,67.1,66.5,1,201903,20848,9407,171648,0,0.000000,194,69,5472,true,2,2,0,0,0,0,0,8157,3200,62
deepseek-v4-flash,opencode,t01-roman,pass,17.7,17.5,1,71304,15714,678,54912,0,0.002546,13,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t02-jsonrepair,pass,23.6,23.5,1,109211,16740,951,91520,0,0.002916,52,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t03-ringbuffer,pass,28.6,27.8,1,111420,16534,1062,93824,0,0.003020,15,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t04-csvbugfix,pass,19.5,19.4,1,107839,16176,527,91136,0,0.002749,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t05-todostore,pass,20.6,20.4,1,110930,16907,1095,92928,0,0.002944,16,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t06-stackvm,pass,126.6,126.4,1,278410,21984,4522,251904,0,0.008826,148,64,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t01-roman,pass,7.5,7.4,1,10480,1719,697,8064,0,0.001507,29,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t02-jsonrepair,pass,105.7,105.6,1,118908,3492,14552,100864,0,0.020402,168,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t03-ringbuffer,pass,15.6,14.8,1,18276,2548,1264,14464,0,0.002567,15,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t04-csvbugfix,pass,12.4,12.2,1,19584,2380,1204,16000,0,0.002494,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t05-todostore,pass,8.8,8.5,1,15928,2859,909,12160,0,0.002186,19,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t06-stackvm,pass,97.3,97.1,1,112964,6475,15609,90880,0,0.022171,150,48,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t01-roman,pass,21.5,21,1,22399,5903,240,16256,0,0.000000,13,4,5154,false,0,0,0,0,0,0,0,0,0,0
