model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,7.3,7.2,1,26755,5841,562,20352,0,0.000000,13,1,4170,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,18.2,18.1,1,31460,5319,2333,23808,0,0.000000,70,1,4222,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,13.3,12.3,1,26708,4886,958,20864,0,0.000000,18,4,4189,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,9.2,9.1,1,31822,5139,827,25856,0,0.000000,3,3,4148,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,9.6,9.4,1,30549,5907,1090,23552,0,0.000000,18,4,4132,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,67.5,67,1,88077,10764,9217,68096,0,0.000000,129,26,4174,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,7.2,6.7,1,23252,8566,478,14208,0,0.000000,13,1,4176,true,1,0,0,0,0,0,1,3650,0,27
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,35.7,35.5,1,47306,10335,4651,32320,0,0.000000,118,1,4228,true,2,2,0,0,0,0,0,8728,3904,82
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,14.8,13.9,1,34811,9922,1337,23552,0,0.000000,13,4,4195,true,1,1,0,0,0,0,0,4734,0,31
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,11.1,10.9,1,35140,5427,721,28992,0,0.000000,3,3,4154,true,1,1,0,0,0,0,0,3652,3392,14
deepseek-v4-flash,niffler-expert,t05-todostore,pass,14.2,14,1,47209,8109,1404,37696,0,0.000000,18,4,4138,true,2,2,0,0,0,0,0,8682,6976,46
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,92.3,91.8,1,148210,14414,11812,121984,0,0.000000,199,56,4180,true,2,2,0,0,0,0,0,10310,6784,74
glm-5.3-flash,niffler,t01-roman,pass,18.6,18.2,1,17383,9074,245,8064,0,0.000000,13,4,3938,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,27.1,27,1,24160,5800,632,17728,0,0.000000,67,13,3980,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,26.5,25.6,1,18995,1587,448,16960,0,0.000000,13,4,3954,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,20.4,20.2,1,18939,1484,303,17152,0,0.000000,3,3,3913,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,18.3,18.1,1,18086,1349,417,16320,0,0.000000,18,4,3898,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,49.6,49.1,1,35714,5507,2495,27712,0,0.000000,170,48,3937,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,14.2,13.9,1,12259,4973,310,6976,0,0.000000,13,4,3944,true,1,1,0,0,0,0,0,3779,3392,28
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,27.7,27.5,1,31745,2844,613,28288,0,0.000000,60,10,3986,true,2,1,0,0,0,0,1,7610,6912,86
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,26.4,25.3,1,32931,3051,1016,28864,0,0.000000,13,4,3960,true,2,1,0,0,0,0,1,7678,6784,116
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,19.6,19.5,1,26309,2109,264,23936,0,0.000000,3,3,3919,true,2,2,0,0,0,0,0,7615,6912,66
glm-5.3-flash,niffler-expert,t05-todostore,pass,24.4,24.2,1,31477,2541,328,28608,0,0.000000,14,15,3904,true,2,2,0,0,0,0,0,7654,6912,50
glm-5.3-flash,niffler-expert,t06-stackvm,pass,55,54.5,1,86762,9379,2503,74880,0,0.000000,161,64,3943,true,2,2,0,0,0,0,0,7598,6784,49
