model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,pi,t01-roman,pass,10,9.9,1,18173,2360,1093,14720,0,0.002326,31,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t02-jsonrepair,pass,40.7,40.6,1,56926,3162,5252,48512,0,0.008240,114,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t03-ringbuffer,pass,14.3,13.3,1,15258,2457,1025,11776,0,0.002194,16,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t04-csvbugfix,pass,10.3,9.8,1,14560,2449,847,11264,0,0.001974,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t05-todostore,pass,9.3,9.2,1,15665,2939,950,11776,0,0.002244,18,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t06-stackvm,pass,54,53.9,1,87680,6658,8318,72704,0,0.013402,107,56,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t07-validate,pass,20.4,20.4,1,29263,4167,2952,22144,0,0.005165,11,8,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t08-logsum,pass,15.8,15.4,1,34599,3678,1993,28928,0,0.004123,54,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t09-poolrace,pass,8.8,8.7,1,12133,2258,915,8960,0,0.001933,4,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t10-iniparse,pass,24.9,23.2,1,32396,3856,2300,26240,0,0.004448,6,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t11-asyncbugs,pass,10.6,10.4,1,16316,2815,1341,12160,0,0.002666,7,6,,false,0,0,0,0,0,0,0,0,0,0
