model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler-expert,t01-roman,pass,11,10.6,1,28743,6886,865,20992,0,0.000000,31,1,3089,true,1,0,1,1,0,0,0,6231,0,123
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,45.5,45.3,1,55970,9423,5331,41216,0,0.000000,104,1,3139,false,2,2,0,0,0,0,0,13423,6016,103
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,37,36.1,1,46435,3312,1075,42048,0,0.000000,16,4,3108,true,2,2,0,0,0,0,0,13436,12096,77
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,7.8,7.7,1,26332,1534,542,24256,0,0.000000,3,3,3065,true,1,1,0,0,0,0,0,6208,5952,50
deepseek-v4-flash,niffler-expert,t05-todostore,pass,18.9,18.7,1,57276,4967,1941,50368,0,0.000000,21,4,3049,true,2,2,0,0,0,0,0,14011,12096,71
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,70,69.5,1,87117,7115,9410,70592,0,0.000000,146,68,3092,false,1,0,1,1,0,0,0,6210,5952,129
deepseek-v4-flash,niffler-expert,t07-validate,pass,25.1,24.9,1,51317,4917,2816,43584,0,0.000000,13,9,3060,true,2,2,0,0,0,0,0,13764,12096,77
deepseek-v4-flash,niffler-expert,t08-logsum,pass,24.5,24.1,1,77168,5377,2479,69312,0,0.000000,71,4,3057,true,2,2,0,0,0,0,0,13777,11968,63
deepseek-v4-flash,niffler-expert,t09-poolrace,pass,14.3,12.7,1,40603,4242,1417,34944,0,0.000000,4,1,3075,true,2,2,0,0,0,0,0,13737,11904,66
deepseek-v4-flash,niffler-expert,t10-iniparse,pass,24.8,22.2,1,55156,5196,1448,48512,0,0.000000,5,6,3063,true,2,2,0,0,0,0,0,13614,11904,160
deepseek-v4-flash,niffler-expert,t11-asyncbugs,pass,15.7,15.4,1,41879,4794,1757,35328,0,0.000000,5,10,3060,true,2,2,0,0,0,0,0,13611,11904,77
deepseek-v4-flash,niffler-expert,t12-refactor,pass,11.4,10.8,1,42056,3696,1048,37312,0,0.000000,2,4,3066,true,2,2,0,0,0,0,0,13782,11968,65
deepseek-v4-flash,niffler-expert,t13-batchrename,pass,7.1,6.7,1,29832,4532,660,24640,0,0.000000,27,27,3082,true,1,1,0,0,0,0,0,6972,5952,66
deepseek-v4-flash,niffler-expert,t14-todosweep,pass,16.6,16.4,1,45439,5188,1915,38336,0,0.000000,18,0,3075,false,2,2,0,0,0,0,0,13812,12096,68
deepseek-v4-flash,niffler-expert,t15-pollstats,pass,10.9,10.5,1,27356,2346,562,24448,0,0.000000,1,0,3087,true,1,1,0,0,0,0,0,6979,6016,39
deepseek-v4-flash,niffler-expert,t16-apisum,pass,11.3,10,1,29846,2141,1017,26688,0,0.000000,22,0,3089,true,1,1,0,0,0,0,0,6198,5952,51
deepseek-v4-flash,niffler-expert,t17-doccheck,pass,26.4,26,1,83913,4034,2439,77440,0,0.000000,74,0,3167,true,2,2,0,0,0,0,0,13441,12160,87
glm-5.3-flash,niffler-expert,t01-roman,pass,25.7,25.3,1,18999,6859,300,11840,0,0.000000,13,1,2893,false,1,1,0,0,0,0,0,6212,6016,35
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,36.3,36.2,1,31486,9962,596,20928,0,0.000000,47,10,2935,true,2,2,0,0,0,0,0,12879,11968,98
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,39.3,38.2,1,36193,4403,622,31168,0,0.000000,13,4,2909,false,2,2,0,0,0,0,0,12807,12160,100
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,77.1,76.8,1,49046,4866,532,43648,0,0.000000,3,3,2866,false,2,1,1,1,0,0,0,12782,11968,130
glm-5.3-flash,niffler-expert,t05-todostore,pass,60.1,59.8,1,13865,1369,400,12096,0,0.000000,18,4,2851,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t06-stackvm,pass,95.4,95,1,59836,6707,2633,50496,0,0.000000,131,32,2892,true,2,2,0,0,0,0,0,13019,12160,45
