model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,11,10.4,1,31960,6355,901,24704,0,0.000000,13,1,5471,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,12.2,11.2,1,96717,9137,3356,84224,0,0.000000,76,1,5523,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,14.6,13.4,1,69273,6949,1396,60928,0,0.000000,16,4,5490,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,6,5.6,1,77034,6970,944,69120,0,0.000000,3,3,5449,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,11.7,10.7,1,36644,6779,937,28928,0,0.000000,18,4,5433,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,44.2,43.3,1,97137,11566,5955,79616,0,0.000000,111,14,5475,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,10.9,10.3,1,29582,9008,734,19840,0,0.000000,15,1,5477,true,1,1,0,0,0,0,0,3500,0,49
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,10.8,9.7,1,65199,9903,3840,51456,0,0.000000,83,1,5529,true,1,1,0,0,0,0,0,3450,0,27
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,27.1,25.7,1,90164,11868,2200,76096,0,0.000000,19,4,5496,true,2,1,1,1,0,0,0,7312,3392,81
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,9.3,9.1,1,75743,10909,1730,63104,0,0.000000,3,3,5455,true,1,1,0,0,0,0,0,3514,0,37
deepseek-v4-flash,niffler-expert,t05-todostore,pass,13.6,13.2,1,44823,8280,1087,35456,0,0.000000,18,4,5439,true,2,2,0,0,0,0,0,7900,6400,63
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,61.4,59.2,1,186962,13805,7589,165568,0,0.000000,141,37,5481,true,2,2,0,0,0,0,0,8594,6976,62
glm-5.3-flash,niffler,t01-roman,pass,25.8,23.7,1,21951,5732,283,15936,0,0.000000,13,1,5165,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,26.1,25.4,1,117751,22027,1836,93888,0,0.000000,56,11,5207,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,43,41.7,1,64090,9614,1164,53312,0,0.000000,13,4,5181,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,25.3,25.1,1,57529,3649,440,53440,0,0.000000,3,3,5140,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,22.7,22.4,1,23121,2301,404,20416,0,0.000000,18,4,5125,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,70.3,68.4,1,64356,11211,2713,50432,0,0.000000,154,37,5164,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,29.7,27.9,1,29181,6872,357,21952,0,0.000000,13,1,5171,true,2,2,0,0,0,0,0,7124,6400,71
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,28.2,27.4,1,65662,17239,935,47488,0,0.000000,43,13,5213,true,2,2,0,0,0,0,0,6702,4224,63
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,45.1,44,1,71497,8374,1107,62016,0,0.000000,13,4,5187,true,2,2,0,0,0,0,0,7066,6528,55
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,70.6,70.4,1,59430,5787,395,53248,0,0.000000,3,3,5146,true,2,2,0,0,0,0,0,7230,6528,56
glm-5.3-flash,niffler-expert,t05-todostore,pass,25.5,25.1,1,30361,7881,464,22016,0,0.000000,14,4,5131,true,2,2,0,0,0,0,0,7158,6528,84
glm-5.3-flash,niffler-expert,t06-stackvm,pass,69.6,67.8,1,58729,13806,2363,42560,0,0.000000,150,57,5170,true,2,2,0,0,0,0,0,7355,3200,79
