model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,9.6,9.2,1,22964,5122,562,17280,0,0.000000,20,1,3089,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,47.4,47.3,1,104929,4916,4909,95104,0,0.000000,86,1,3139,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,13.2,12.2,1,22093,2020,617,19456,0,0.000000,18,4,3108,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,11.4,11.2,1,29439,2143,1056,26240,0,0.000000,3,3,3065,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,10.1,9.9,1,25028,1883,745,22400,0,0.000000,25,4,3049,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,113.8,113.3,1,111929,6694,12435,92800,0,0.000000,146,43,3092,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t07-validate,pass,28.8,28.6,1,36908,2064,3484,31360,0,0.000000,22,8,3060,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t08-logsum,pass,26.4,26,1,59237,3433,3068,52736,0,0.000000,55,4,3057,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t09-poolrace,pass,14.3,12.7,1,23593,2074,1167,20352,0,0.000000,4,1,3075,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t10-iniparse,pass,20.6,17.7,1,31079,2618,1453,27008,0,0.000000,7,6,3063,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t11-asyncbugs,pass,19.5,19.2,1,26346,2029,2173,22144,0,0.000000,6,7,3060,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t12-refactor,pass,12.4,12,1,25502,1714,1004,22784,0,0.000000,2,4,3066,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t13-batchrename,pass,9,8.6,1,15277,1364,345,13568,0,0.000000,27,27,3082,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t14-todosweep,pass,18.8,18.7,1,39218,2385,1633,35200,0,0.000000,18,0,3075,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t15-pollstats,pass,13.4,13,1,25723,1613,686,23424,0,0.000000,1,0,3087,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t16-apisum,pass,11.5,10.3,1,20829,1745,524,18560,0,0.000000,23,0,3089,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t17-doccheck,pass,49.6,49.4,1,122147,4690,4689,112768,0,0.000000,35,0,3167,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,11.1,10.7,1,25396,8269,871,16256,0,0.000000,13,1,3089,true,1,1,0,0,0,0,0,3673,0,26
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,38.8,38.6,1,48514,8784,4786,34944,0,0.000000,103,1,3139,true,2,2,0,0,0,0,0,8175,3456,59
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,16.1,15.1,1,32727,3150,1289,28288,0,0.000000,17,4,3108,true,2,2,0,0,0,0,0,8252,7040,53
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,10.2,10.1,1,30769,2343,650,27776,0,0.000000,3,3,3065,true,1,1,0,0,0,0,0,3676,3456,24
deepseek-v4-flash,niffler-expert,t05-todostore,pass,10.3,10.1,1,28317,2795,818,24704,0,0.000000,21,4,3049,true,1,1,0,0,0,0,0,3702,3456,29
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,67,66.5,1,82046,8386,8892,64768,0,0.000000,119,23,3092,true,2,2,0,0,0,0,0,8559,7040,42
