model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,pi,t01-roman,pass,5.6,5.5,1,10622,2577,493,7552,0,0.001503,20,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t02-jsonrepair,pass,112.8,112.7,1,106574,3925,15097,87552,0,0.020773,146,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t03-ringbuffer,pass,14.3,13.3,1,16680,2439,1313,12928,0,0.002549,15,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t04-csvbugfix,pass,9.3,9.2,1,18970,2761,1105,15104,0,0.002464,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t05-todostore,pass,8,7.9,1,15787,2872,883,12032,0,0.002156,20,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t06-stackvm,pass,84.4,84.3,1,135484,6169,12579,116736,0,0.019354,177,50,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t07-validate,pass,23.2,23.2,1,24195,2815,3588,17792,0,0.005385,30,10,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t08-logsum,pass,33.7,33.5,1,31411,3233,4626,23552,0,0.006848,47,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t09-poolrace,pass,12.3,12.2,1,17044,2347,1513,13184,0,0.002758,9,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t10-iniparse,pass,21.3,19.8,1,21785,3063,2594,16128,0,0.004276,6,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t11-asyncbugs,pass,12.5,12.3,1,18604,2987,1665,13952,0,0.003134,6,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t12-refactor,pass,10.8,10.8,1,17144,2489,1471,13184,0,0.002750,2,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t13-batchrename,pass,6.4,6.2,1,12926,2635,691,9600,0,0.001802,27,27,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t14-todosweep,pass,15.8,15.7,1,24218,2094,1900,20224,0,0.003325,18,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t15-pollstats,pass,7.2,6.9,1,13821,2538,531,10752,0,0.001625,1,0,,false,0,0,0,0,0,0,0,0,0,0
