model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,10.4,9.9,1,30656,5726,738,24192,0,0.000000,19,1,4167,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,23.3,23.1,1,33217,5807,2834,24576,0,0.000000,52,1,4219,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,13,11.8,1,22568,5021,907,16640,0,0.000000,16,4,4186,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,11,10.8,1,38732,5375,973,32384,0,0.000000,3,3,4145,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,8.9,8.7,1,28515,5573,926,22016,0,0.000000,18,4,4129,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,57.8,57.2,1,129477,18512,8437,102528,0,0.000000,133,48,4171,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,7.9,7.4,1,23590,8557,697,14336,0,0.000000,31,1,4173,true,1,1,0,0,0,0,0,3677,0,29
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,25.7,25.6,1,42529,7021,3124,32384,0,0.000000,57,1,4225,true,2,2,0,0,0,0,0,8422,7040,52
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,15.2,14.1,1,33854,6667,1267,25920,0,0.000000,15,4,4192,true,1,0,0,0,0,0,1,4639,3392,107
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,9.7,9.5,1,32232,5648,920,25664,0,0.000000,3,3,4151,true,1,1,0,0,0,0,0,3695,3392,41
deepseek-v4-flash,niffler-expert,t05-todostore,pass,9.8,9.6,1,33141,6160,933,26048,0,0.000000,21,4,4135,true,1,1,0,0,0,0,0,3661,3392,30
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,59.6,59.1,1,99098,15086,8812,75200,0,0.000000,165,56,4177,true,2,2,0,0,0,0,0,8688,3392,82
glm-5.3-flash,niffler,t01-roman,pass,22.2,21.7,1,17655,4664,255,12736,0,0.000000,20,4,3938,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,31.8,31.7,1,24587,2404,807,21376,0,0.000000,90,9,3980,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,41,39.9,1,38718,7408,526,30784,0,0.000000,13,4,3954,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,14,13.9,1,18581,1360,197,17024,0,0.000000,3,3,3913,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,30.7,30.4,1,28914,2154,456,26304,0,0.000000,14,4,3898,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,50.4,49.8,1,43692,5533,2447,35712,0,0.000000,118,18,3937,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,26.1,25.6,1,29531,5776,331,23424,0,0.000000,13,4,3944,true,2,1,0,0,0,0,1,7612,6912,90
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,35.1,34.9,1,38057,6741,916,30400,0,0.000000,79,10,3986,true,2,1,1,1,0,0,0,7592,3392,99
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,39.1,38,1,40914,2740,734,37440,0,0.000000,13,4,3960,true,2,2,0,0,0,0,0,7358,6912,58
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,19.6,19.4,1,26253,2043,274,23936,0,0.000000,3,3,3919,true,2,1,0,0,0,0,1,7587,6912,92
glm-5.3-flash,niffler-expert,t05-todostore,pass,22,21.7,1,31365,2550,335,28480,0,0.000000,16,15,3904,true,2,2,0,0,0,0,0,7649,6912,60
glm-5.3-flash,niffler-expert,t06-stackvm,pass,50.8,50.3,1,66544,8183,2041,56320,0,0.000000,90,42,3943,true,2,2,0,0,0,0,0,7496,6912,58
