model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,codewhale,t01-roman,pass,8.2,8.1,1,36423,20572,491,15360,0,0.000000,20,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t02-jsonrepair,pass,28.1,27.9,1,53197,27715,3466,22016,0,0.000000,91,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t03-ringbuffer,pass,11.9,11,1,38599,21591,624,16384,0,0.000000,13,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t04-csvbugfix,pass,21.3,21.2,1,37601,21138,463,16000,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t05-todostore,pass,8.3,8.1,1,39993,22389,708,16896,0,0.000000,18,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t06-stackvm,pass,84.5,84.4,1,209437,102965,13160,93312,0,0.000000,142,39,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t07-validate,pass,14.5,14.4,1,46937,25414,1939,19584,0,0.000000,11,11,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t08-logsum,pass,17.9,17.5,1,102673,53864,1577,47232,0,0.000000,44,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t09-poolrace,pass,1069.7,464.6,1,95289,48439,4098,42752,0,0.000000,8,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t10-iniparse,pass,38.7,36.3,1,73126,39160,1326,32640,0,0.000000,5,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t11-asyncbugs,pass,15.6,15.3,1,60270,33104,1566,25600,0,0.000000,7,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t12-refactor,pass,7.1,6.9,1,38532,21690,586,16256,0,0.000000,2,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t13-batchrename,pass,7.6,7.3,1,38603,21629,462,16512,0,0.000000,27,27,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t14-todosweep,pass,6.7,6.6,1,28453,16820,497,11136,0,0.000000,18,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t15-pollstats,pass,8.9,8.5,1,39288,22099,549,16640,0,0.000000,1,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t16-apisum,pass,9.2,8,1,38953,21899,542,16512,0,0.000000,21,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t17-doccheck,pass,221,220.9,1,336830,169549,6001,161280,0,0.000000,31,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t01-roman,pass,19.4,19.3,1,69248,483,541,68224,0,0.000410,13,1,,false,0,0,0,0,0,0,0,0,0,0
