model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,19.9,19.8,1,55874,614,0,0,0.000000,19,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,171.1,171,1,155069,5748,0,0,0.000000,91,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,42.7,41.8,1,102282,1457,0,0,0.000000,17,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,19.8,19.7,1,72046,1075,0,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,11.8,11.6,1,72472,996,0,0,0.000000,17,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,59.6,59.5,1,65558,6699,3200,0,0.000000,19,1,true,5,4,0,0,0,0,1,9658,3200,6099
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,260.7,260.6,1,292726,26346,28224,0,0.000000,83,1,true,14,9,4,1,3,0,1,45386,28224,17228
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,36.8,35.9,1,85931,6106,11264,0,0.000000,17,4,true,7,6,0,0,0,0,1,14733,11264,5205
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,38.3,38.2,1,100667,4692,10176,0,0.000000,3,3,true,6,3,3,1,2,0,0,13557,10176,3452
deepseek-v4-flash,niffler-expert,t05-todostore,pass,34.9,34.7,1,82993,4866,7616,0,0.000000,25,4,true,5,5,0,0,0,0,0,10538,7616,3729
glm-5.3-flash,niffler,t01-roman,pass,36.6,36.5,1,66197,510,0,0,0.000000,13,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,86.6,86.5,1,86237,3581,0,0,0.000000,90,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,45.3,44.4,1,81109,783,0,0,0.000000,14,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,45.4,45.3,1,92041,1198,0,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,29.1,28.8,1,67675,677,0,0,0.000000,16,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,110.6,110.5,1,153019,9384,21568,0,0.000000,15,1,true,11,10,1,1,0,0,0,27502,21568,8495
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,121,120.9,1,102102,7491,9472,0,0.000000,87,1,true,6,4,1,1,0,0,1,12805,9472,3754
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,109.7,108.9,1,106755,13261,15296,0,0.000000,21,4,true,8,6,2,1,1,0,0,20676,15296,11580
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,104.5,104.4,1,109168,12818,18624,0,0.000000,3,3,true,10,10,0,0,0,0,0,25930,18624,11668
glm-5.3-flash,niffler-expert,t05-todostore,pass,97.5,97.3,1,85579,8936,12608,0,0.000000,16,4,true,8,6,1,1,0,0,1,17422,12608,7896
