model,harness,task,verdict,leaked,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,costOfficialUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
deepseek-v4-flash,dsh,t01-roman,pass,false,6.6,6.5,1,5245,1192,469,3584,0,0.000000,0.0009419039999999999,16,1,622,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t02-jsonrepair,pass,false,61.1,61,1,76096,5008,10800,60288,0,0.000000,0.014824127999999999,178,1,672,false,0,0,0,0,0,0,0,0,0,0,9,8,0,0,,8,,
deepseek-v4-flash,dsh,t03-ringbuffer,pass,false,14.2,12.4,1,14250,2601,1153,10496,0,0.000000,0.0022268759999999996,17,4,641,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,5,,
deepseek-v4-flash,dsh,t04-csvbugfix,pass,false,7.8,7.8,1,11743,4341,746,6656,0,0.000000,0.002237436,3,3,598,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t05-todostore,pass,false,8.1,8,1,7272,1945,847,4480,0,0.000000,0.0016267800000000002,16,4,582,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t06-stackvm,pass,false,88.7,88.6,1,214954,13849,15505,185600,0,0.000000,0.023874299999999998,186,64,625,false,0,0,0,0,0,0,0,0,0,0,13,12,0,0,,12,,
deepseek-v4-flash,dsh,t07-validate,pass,false,24.7,24.6,1,29857,4518,4219,21120,0,0.000000,0.00654492,52,11,593,false,0,0,0,0,0,0,0,0,0,0,7,6,0,0,,6,,
deepseek-v4-flash,dsh,t08-logsum,pass,false,30.2,29.9,1,36673,4709,4956,27008,0,0.000000,0.007521948,107,3,590,false,0,0,0,0,0,0,0,0,0,0,7,6,0,0,,6,,
deepseek-v4-flash,dsh,t09-poolrace,pass,false,13.4,13.4,1,13011,2370,1169,9472,0,0.000000,0.002170632,6,1,608,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,5,,
deepseek-v4-flash,dsh,t10-iniparse,pass,false,40.5,38.8,1,40972,3920,5436,31616,0,0.000000,0.007888896,9,6,596,false,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,7,,
deepseek-v4-flash,dsh,t11-asyncbugs,pass,false,8.3,8,1,8122,2129,1001,4992,0,0.000000,0.0018698520000000002,5,10,593,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t12-refactor,pass,false,9.2,9.1,1,13858,2717,773,10368,0,0.000000,0.0018049079999999998,2,4,599,false,0,0,0,0,0,0,0,0,0,0,6,7,0,0,,7,,
deepseek-v4-flash,dsh,t13-batchrename,pass,false,8.2,7.9,1,12701,2968,645,9088,0,0.000000,0.0017189280000000002,27,27,615,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,4,,
deepseek-v4-flash,dsh,t14-todosweep,pass,false,10.4,10.3,1,11355,2816,1243,7296,0,0.000000,0.0023801759999999995,18,0,608,false,0,0,0,0,0,0,0,0,0,0,4,8,0,0,,8,,
deepseek-v4-flash,dsh,t15-pollstats,pass,false,8.6,8.3,1,8237,1739,738,5760,0,0.000000,0.0014418599999999999,1,0,620,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,4,,
deepseek-v4-flash,dsh,t16-apisum,pass,false,7.8,6.6,1,5726,1604,410,3712,0,0.000000,0.000995472,17,0,622,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t17-doccheck,pass,false,53.3,53,1,79844,3852,9048,66944,0,0.000000,0.012414864000000001,108,0,700,false,0,0,0,0,0,0,0,0,0,0,10,9,0,0,,9,,
deepseek-v4-flash,dsh,t18-lruttl,pass,false,389.8,389.7,1,98838,6658,14484,77696,0,0.000000,0.019844376,130,12,607,false,0,0,0,0,0,0,0,0,0,0,10,9,0,0,,9,,
deepseek-v4-flash,dsh,t19-tokbucket,pass,false,13,12.9,1,16082,3831,1755,10496,0,0.000000,0.003318276,26,11,585,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,4,,
deepseek-v4-flash,dsh,t20-jsonpatch,pass,false,98.7,98.5,1,155711,7667,18508,129536,0,0.000000,0.025286915999999996,256,10,603,false,0,0,0,0,0,0,0,0,0,0,10,12,0,0,,12,,
deepseek-v4-flash,dsh,t21-wireproto,pass,false,37.3,37.2,1,39826,4784,6626,28416,0,0.000000,0.009556895999999999,68,8,586,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,5,,
deepseek-v4-flash,dsh,t22-cronnext,pass,false,131,130.9,1,141543,7200,16199,118144,0,0.000000,0.022307664,128,12,604,false,0,0,0,0,0,0,0,0,0,0,10,9,0,0,,9,,
deepseek-v4-flash,dsh,t23-mergesched,pass,false,45.3,45.2,1,53666,4484,7326,41856,0,0.000000,0.010387536,83,4,584,false,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,7,,
deepseek-v4-flash,dsh,t24-editops,pass,false,48.3,48.2,1,65882,5206,9476,51200,0,0.000000,0.013240199999999999,187,11,596,false,0,0,0,0,0,0,0,0,0,0,9,8,0,0,,8,,
deepseek-v4-flash,dsh,t25-shardmap,pass,false,16,15.9,1,10909,2660,2489,5760,0,0.000000,0.0038193599999999995,92,16,600,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
