model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,13.9,13.5,1,24166,1441,581,22144,0,0.000000,19,1,2979,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,30.3,30.1,1,34248,1869,3707,28672,0,0.000000,99,1,3029,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,19.5,18.5,1,21824,1485,1011,19328,0,0.000000,14,4,2998,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,11.4,11.3,1,30078,1754,804,27520,0,0.000000,3,3,2955,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,8.6,8.3,1,25623,2427,668,22528,0,0.000000,18,4,2939,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,88.4,87.9,1,100338,7745,13105,79488,0,0.000000,159,49,2982,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t07-validate,pass,21.6,21.5,1,30194,1877,2717,25600,0,0.000000,16,8,2950,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t08-logsum,pass,21.5,21.1,1,55723,3468,2207,50048,0,0.000000,74,4,2947,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t09-poolrace,pass,10.5,8.9,1,20241,1573,492,18176,0,0.000000,4,1,2965,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t10-iniparse,pass,56.6,53.8,1,33136,2628,2476,28032,0,0.000000,6,5,2953,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t11-asyncbugs,pass,54.6,54.3,1,54107,3371,3376,47360,0,0.000000,6,10,2950,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t12-refactor,pass,10,9.6,1,24159,3036,771,20352,0,0.000000,2,4,2956,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t13-batchrename,pass,11.2,10.8,1,43526,6118,672,36736,0,0.000000,27,27,2972,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t14-todosweep,pass,5.4,5.3,1,12535,1505,406,10624,0,0.000000,18,0,2965,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t15-pollstats,pass,8.1,7.7,1,26720,2090,566,24064,0,0.000000,1,0,2977,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t16-apisum,pass,7.7,6.5,1,17619,1712,419,15488,0,0.000000,11,0,2979,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t17-doccheck,pass,46.6,45.9,1,140286,6531,5627,128128,0,0.000000,127,0,3057,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,11.6,11.1,1,21034,7129,465,13440,0,0.000000,19,1,2979,true,1,1,0,0,0,0,0,6262,0,44
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,89.5,89.4,1,67943,9226,7069,51648,0,0.000000,50,1,3029,true,2,1,1,1,0,0,0,13505,6208,104
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,28,27.1,1,37026,9484,918,26624,0,0.000000,16,4,2998,true,2,2,0,0,0,0,0,13409,6144,64
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,11.6,11.4,1,40022,4072,1262,34688,0,0.000000,3,3,2955,true,2,2,0,0,0,0,0,13698,12160,73
deepseek-v4-flash,niffler-expert,t05-todostore,pass,12.4,12.2,1,33944,8874,750,24320,0,0.000000,19,15,2939,true,2,2,0,0,0,0,0,13277,6144,131
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,81.4,80.9,1,103862,8581,11825,83456,0,0.000000,130,23,2982,true,2,2,0,0,0,0,0,13748,12160,48
deepseek-v4-flash,niffler-expert,t07-validate,pass,31.8,31.7,1,90141,8720,4109,77312,0,0.000000,24,9,2950,true,2,2,0,0,0,0,0,14009,12032,116
deepseek-v4-flash,niffler-expert,t08-logsum,pass,19.4,18.9,1,56402,4619,2247,49536,0,0.000000,73,4,2947,true,2,2,0,0,0,0,0,13976,12160,74
deepseek-v4-flash,niffler-expert,t09-poolrace,pass,13,11.4,1,35895,3437,842,31616,0,0.000000,4,1,2965,true,2,2,0,0,0,0,0,13446,12032,65
deepseek-v4-flash,niffler-expert,t10-iniparse,pass,21.2,16.7,1,36844,3351,981,32512,0,0.000000,6,5,2953,true,2,1,1,1,0,0,0,13339,12160,138
deepseek-v4-flash,niffler-expert,t11-asyncbugs,pass,24.1,23.8,1,45763,4476,2119,39168,0,0.000000,5,10,2950,true,2,1,0,0,0,0,1,13898,12160,484
deepseek-v4-flash,niffler-expert,t12-refactor,pass,11.8,11.4,1,37479,3596,1115,32768,0,0.000000,2,4,2956,true,2,2,0,0,0,0,0,13740,12160,77
deepseek-v4-flash,niffler-expert,t13-batchrename,pass,12.5,12.1,1,37436,9395,521,27520,0,0.000000,27,27,2972,true,1,1,0,0,0,0,0,6193,0,33
deepseek-v4-flash,niffler-expert,t14-todosweep,pass,8.1,8,1,23716,2030,438,21248,0,0.000000,18,0,2965,true,1,1,0,0,0,0,0,6245,6016,36
deepseek-v4-flash,niffler-expert,t15-pollstats,pass,155.2,154.7,1,272824,9409,13431,249984,0,0.000000,1,0,2977,false,1,0,1,1,0,0,0,6193,6016,141
deepseek-v4-flash,niffler-expert,t16-apisum,pass,127.4,126.2,1,22654,7718,344,14592,0,0.000000,16,0,2979,true,1,1,0,0,0,0,0,6218,0,40
deepseek-v4-flash,niffler-expert,t17-doccheck,pass,34.7,34.6,1,123099,7217,4010,111872,0,0.000000,49,0,3057,true,2,1,0,0,0,0,1,13989,12160,209
glm-5.3-flash,niffler,t01-roman,pass,22.7,22.3,1,9166,3179,227,5760,0,0.000000,13,4,2793,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,63.4,63.3,1,35441,11314,1727,22400,0,0.000000,49,10,2835,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,40.9,36.9,1,18355,2378,809,15168,0,0.000000,13,4,2809,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,19,18.9,1,13752,2036,196,11520,0,0.000000,3,3,2766,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,24,23.7,1,13589,4038,399,9152,0,0.000000,16,4,2751,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,64.5,64,1,43305,10788,2437,30080,0,0.000000,144,64,2792,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t07-validate,pass,33.4,33.2,1,18801,4363,614,13824,0,0.000000,11,10,2762,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t08-logsum,pass,55.9,55.4,1,43978,7370,1088,35520,0,0.000000,59,4,2758,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t09-poolrace,pass,63.1,61.4,1,21185,2089,472,18624,0,0.000000,4,1,2777,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t10-iniparse,pass,43.6,41,1,27483,8189,414,18880,0,0.000000,6,5,2765,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t11-asyncbugs,pass,43.5,43.2,1,24840,2849,679,21312,0,0.000000,6,11,2762,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t12-refactor,pass,27.5,27,1,17795,3477,366,13952,0,0.000000,2,4,2765,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t13-batchrename,pass,30.1,29.6,1,15967,954,165,14848,0,0.000000,27,27,2782,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t14-todosweep,pass,24.8,24.7,1,10588,2337,123,8128,0,0.000000,18,0,2775,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t15-pollstats,pass,16.3,15.9,1,12764,1502,190,11072,0,0.000000,13,0,2787,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t16-apisum,pass,17.5,16.2,1,13992,4771,197,9024,0,0.000000,12,0,2789,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t17-doccheck,pass,22.4,22.3,1,18278,5465,397,12416,0,0.000000,27,0,2867,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,22,21.6,1,25365,4460,361,20544,0,0.000000,13,4,2793,true,2,1,0,0,0,0,1,12900,12160,137
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,55.3,55.2,1,42474,5315,1639,35520,0,0.000000,82,10,2835,true,2,2,0,0,0,0,0,12896,12032,80
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,38.8,37.8,1,31144,2671,953,27520,0,0.000000,13,4,2809,true,2,2,0,0,0,0,0,12667,12032,133
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,25.4,25.3,1,26858,4715,319,21824,0,0.000000,3,3,2766,true,2,1,0,0,0,0,1,12929,12032,114
glm-5.3-flash,niffler-expert,t05-todostore,pass,26.7,26.5,1,26271,2929,494,22848,0,0.000000,18,4,2751,true,2,2,0,0,0,0,0,12688,12160,86
glm-5.3-flash,niffler-expert,t06-stackvm,pass,180.9,180.3,1,177594,17802,6064,153728,0,0.000000,158,52,2792,false,2,1,1,1,0,0,0,12921,12160,198
glm-5.3-flash,niffler-expert,t07-validate,pass,92.3,92.2,1,36311,13646,585,22080,0,0.000000,14,12,2762,true,2,2,0,0,0,0,0,12913,8896,88
glm-5.3-flash,niffler-expert,t08-logsum,pass,62.9,62.4,1,63537,14101,1180,48256,0,0.000000,51,2,2758,true,2,1,1,1,0,0,0,12869,6144,138
glm-5.3-flash,niffler-expert,t09-poolrace,pass,24.1,22.5,1,19614,7240,534,11840,0,0.000000,4,1,2777,true,1,0,1,1,0,0,0,6197,0,160
glm-5.3-flash,niffler-expert,t10-iniparse,pass,71.6,68.8,1,46578,12283,759,33536,0,0.000000,8,8,2765,true,2,1,1,1,0,0,0,12594,6016,253
glm-5.3-flash,niffler-expert,t11-asyncbugs,pass,50.7,50.4,1,44142,7525,649,35968,0,0.000000,6,4,2762,true,2,2,0,0,0,0,0,12595,12160,67
glm-5.3-flash,niffler-expert,t12-refactor,pass,18.5,18.1,1,27222,9308,378,17536,0,0.000000,2,4,2765,true,2,2,0,0,0,0,0,12727,6016,51
glm-5.3-flash,niffler-expert,t13-batchrename,pass,9.6,9.2,1,14975,465,110,14400,0,0.000000,27,27,2782,true,1,1,0,0,0,0,0,6187,6016,28
glm-5.3-flash,niffler-expert,t14-todosweep,pass,14.4,14.3,1,20188,1634,250,18304,0,0.000000,18,0,2775,true,1,0,0,0,0,0,1,6190,6016,93
glm-5.3-flash,niffler-expert,t15-pollstats,pass,15.2,14.8,1,16411,2011,256,14144,0,0.000000,1,0,2787,true,1,1,0,0,0,0,0,6206,6016,13
glm-5.3-flash,niffler-expert,t16-apisum,pass,21.4,20.2,1,25198,1433,277,23488,0,0.000000,7,0,2789,true,2,2,0,0,0,0,0,12776,12032,119
glm-5.3-flash,niffler-expert,t17-doccheck,pass,131.9,131.8,1,129726,16792,3110,109824,0,0.000000,36,0,2867,true,1,0,1,1,0,0,0,6216,6016,148
