model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,codewhale,t01-roman,pass,6.8,6.7,1,36845,20670,559,15616,0,0.000000,19,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t02-jsonrepair,pass,33,32.9,1,55022,28250,4116,22656,0,0.000000,63,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t03-ringbuffer,pass,11.9,11,1,39171,21812,719,16640,0,0.000000,16,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t04-csvbugfix,pass,7.7,7.7,1,38738,21734,620,16384,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t05-todostore,pass,7.3,7.2,1,39573,22305,628,16640,0,0.000000,18,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t06-stackvm,pass,89.7,89.6,1,156485,76901,12000,67584,0,0.000000,173,51,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t07-validate,pass,14.8,14.7,1,44273,24280,1561,18432,0,0.000000,4,8,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t08-logsum,pass,31.9,31.5,1,220246,112841,3597,103808,0,0.000000,55,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t09-poolrace,pass,13.7,13.6,1,57410,31302,1148,24960,0,0.000000,9,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t10-iniparse,pass,39.2,34.9,1,101063,52827,2796,45440,0,0.000000,5,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,t11-asyncbugs,pass,11.5,11.2,1,44667,24540,1439,18688,0,0.000000,5,10,,false,0,0,0,0,0,0,0,0,0,0
