model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4.1-flash,niffler,t01-roman,pass,6.2,5.9,1,10836,1209,411,9216,0,0.000000,22,1,1896,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t02-jsonrepair,pass,17.4,17.3,1,26477,2486,2615,21376,0,0.000000,100,1,1946,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t03-ringbuffer,pass,15,12.8,1,23253,2351,806,20096,0,0.000000,17,4,1915,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t04-csvbugfix,pass,7.9,7.8,1,15907,2047,548,13312,0,0.000000,3,3,1872,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t05-todostore,pass,9.9,9.8,1,20450,2581,717,17152,0,0.000000,16,4,1856,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t06-stackvm,pass,28.3,28.1,1,57997,6677,6008,45312,0,0.000000,176,46,1899,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t07-validate,pass,14.3,14.2,1,23621,2917,1632,19072,0,0.000000,8,6,1867,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t08-logsum,pass,21.6,21.4,1,45104,3958,2746,38400,0,0.000000,89,4,1864,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t09-poolrace,pass,12.1,10.9,1,15554,1913,713,12928,0,0.000000,7,4,1882,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t10-iniparse,pass,16,15,1,26348,3453,1263,21632,0,0.000000,6,5,1870,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t11-asyncbugs,pass,12.6,12.4,1,18478,2636,994,14848,0,0.000000,6,4,1867,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t12-refactor,pass,8,7.8,1,16713,2550,595,13568,0,0.000000,2,4,1873,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t13-batchrename,pass,8.2,8,1,14875,2846,381,11648,0,0.000000,27,27,1889,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t14-todosweep,pass,12.2,12.2,1,24461,2835,1402,20224,0,0.000000,18,0,1882,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t15-pollstats,pass,44.3,44,1,69978,5738,3056,61184,0,0.000000,1,0,1894,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t16-apisum,pass,29.3,28.1,1,12969,2104,369,10496,0,0.000000,20,0,1896,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t17-doccheck,pass,27.8,27.7,1,38939,4000,2811,32128,0,0.000000,36,0,1974,false,0,0,0,0,0,0,0,0,0,0
