model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,11.3,11,1,14540,3370,418,10752,0,0.000000,13,1,2979,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,21,20.9,1,26967,4253,2234,20480,0,0.000000,16,1,3029,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,14.4,13.5,1,28357,2145,996,25216,0,0.000000,13,4,2998,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,11.9,11.8,1,34589,2113,860,31616,0,0.000000,3,3,2955,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,17.4,17.2,1,50027,3617,1738,44672,0,0.000000,20,4,2939,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,49.8,49.4,1,71411,6942,7381,57088,0,0.000000,178,39,2982,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t07-validate,pass,20.7,20.6,1,39700,3873,2675,33152,0,0.000000,14,9,2950,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t08-logsum,pass,19.5,19.1,1,45796,2826,2266,40704,0,0.000000,54,2,2947,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t09-poolrace,pass,9.4,7.8,1,17545,1697,616,15232,0,0.000000,4,1,2965,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t10-iniparse,pass,29,26.5,1,25535,3100,1059,21376,0,0.000000,6,7,2953,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t11-asyncbugs,pass,14.1,13.8,1,25044,2643,1153,21248,0,0.000000,5,10,2950,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t12-refactor,pass,17.6,17.2,1,23727,2587,788,20352,0,0.000000,2,4,2956,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t13-batchrename,pass,12.6,12.2,1,29762,1329,529,27904,0,0.000000,27,27,2972,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t14-todosweep,pass,8.7,8.6,1,23633,2979,302,20352,0,0.000000,18,0,2965,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t15-pollstats,pass,28.4,28,1,45759,4831,608,40320,0,0.000000,1,0,2977,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t16-apisum,pass,12.7,11.4,1,22780,1937,875,19968,0,0.000000,12,0,2979,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t17-doccheck,pass,14.7,14.6,1,134286,9331,4379,120576,0,0.000000,59,0,3057,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t01-roman,pass,24.5,24.1,1,12338,6180,270,5888,0,0.000000,13,1,2793,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,43.2,43.1,1,17703,8274,469,8960,0,0.000000,45,11,2835,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,28.3,27.4,1,13621,4692,481,8448,0,0.000000,13,4,2809,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,42.1,42,1,13742,2154,196,11392,0,0.000000,3,3,2766,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,28.7,28.4,1,18529,2405,444,15680,0,0.000000,16,4,2751,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,116.6,116.1,1,58882,7763,3567,47552,0,0.000000,155,48,2792,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t07-validate,pass,49.7,49.5,1,12440,5097,495,6848,0,0.000000,15,11,2762,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t08-logsum,pass,162.3,161.6,1,98703,13042,2333,83328,0,0.000000,47,3,2758,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t09-poolrace,pass,150.3,148.6,1,13533,4717,432,8384,0,0.000000,4,1,2777,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t10-iniparse,pass,95.9,93.3,1,18494,3105,413,14976,0,0.000000,6,5,2765,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t11-asyncbugs,pass,60.1,59.7,1,42409,13947,878,27584,0,0.000000,7,6,2762,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t12-refactor,pass,76.9,76.5,1,18067,8649,330,9088,0,0.000000,2,4,2765,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t13-batchrename,pass,27.5,27,1,9215,3847,120,5248,0,0.000000,27,27,2782,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t14-todosweep,pass,47.3,47.2,1,13853,1560,133,12160,0,0.000000,18,0,2775,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t15-pollstats,pass,22.3,21.8,1,12389,1202,179,11008,0,0.000000,1,0,2787,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t16-apisum,pass,28.4,27.2,1,13072,1699,173,11200,0,0.000000,11,0,2789,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t17-doccheck,pass,38.7,38.6,1,59627,10349,894,48384,0,0.000000,40,0,2867,false,0,0,0,0,0,0,0,0,0,0
